Size       Cycles/Element for sum_C: simple C compiled on this machine with settings in Makefile
16            1.81
32            1.09
64            0.97
128           0.93
256           0.74
512           0.66
1024          0.61
2048          0.59
4096          0.57
8192          0.56
16384         0.56
32768         0.57
65536         0.56
131072        0.56
262144        0.56
524288        0.56
1048576       0.56

Size       Cycles/Element for sum_multiple_accum_C: faster than sum_C
16            2.69
32            1.47
64            0.89
128           0.56
256           0.46
512           0.42
1024          0.38
2048          0.36
4096          0.34
8192          0.34
16384         0.34
32768         0.34
65536         0.34
131072        0.34
262144        0.34
524288        0.34
1048576       0.34

Size       Cycles/Element for sum_simple: simple ASM implementation
16            2.81
32            1.22
64            1.25
128           0.79
256           0.79
512           0.66
1024          0.61
2048          0.58
4096          0.57
8192          0.56
16384         0.57
32768         0.56
65536         0.56
131072        0.56
262144        0.56
524288        0.56
1048576       0.56

Size       Cycles/Element for sum_unrolled2: should be faster than sum_simple
16            1.75
32            1.53
64            0.72
128           0.58
256           0.54
512           0.47
1024          0.43
2048          0.42
4096          0.41
8192          0.40
16384         0.40
32768         0.40
65536         0.40
131072        0.40
262144        0.40
524288        0.40
1048576       0.39

Size       Cycles/Element for sum_unrolled4: should be faster than sum_unrolled2
16            1.75
32            1.03
64            0.77
128           0.58
256           0.49
512           0.44
1024          0.42
2048          0.41
4096          0.40
8192          0.40
16384         0.40
32768         0.40
65536         0.40
131072        0.40
262144        0.40
524288        0.40
1048576       0.40

Size       Cycles/Element for sum_multiple_accum
16            2.81
32            1.53
64            0.92
128           0.66
256           0.47
512           0.35
1024          0.34
2048          0.32
4096          0.31
8192          0.30
16384         0.30
32768         0.30
65536         0.30
131072        0.30
262144        0.30
524288        0.30
1048576       0.30

